0.013413,0,0.029,-0.11,-0.05,-0.99,196.88,-12.64,5.12,-0.01,-0,0.01,3.5,0,-0.61,-0.92,0.23,0.08,0.98
0.015547,4,-0.929,0.07,-0.13,0.34,332.45,11.16,-12.6,-0.08,0,0.01,3.47,0,-0.76,0,-0.25,-0.27,0.94
0.020177,6,-0.984,0.04,0.13,0.12,0.61,-14.8,-2.43,-0.11,0,-0,3.52,0,0,-0.31,0.15,-0.07,0.99
0.021979,3,-0.894,-0.1,-0.05,-0.43,65.97,0.18,12.75,-0.01,0,0.01,3.75,-0.15,-0.61,0,-0.02,0.23,0.98
0.092103,7,-0.971,0.1,0.2,-0.08,26.78,-21.77,-14.4,-0.11,0,0.03,3.6,0,-0.31,-0.31,0.28,-0.23,0.97
0.099214,2,-0.786,-0.03,-0.01,0.62,297.79,2.6,2.02,-0.04,-0,0,3.7,0.76,0.15,1.37,-0.06,0,1
0.11373,1,0.185,0.11,-0.05,-0.98,216.26,11.01,7.99,-0.05,0,0.03,3.71,0,-0.15,0,-0.15,0.12,1.01
0.11608,5,-0.855,-0.04,-0.11,-0.5,75.88,8.44,10.56,-0.07,0,0.01,3.52,-0.15,0,1.83,-0.18,0.24,0.97
0.12171,0,0.029,-0.11,-0.05,-0.99,196.87,-12.53,5.17,-0.01,-0,0.01,3.5,0.31,0.31,-0.15,0.23,0.09,0.97
0.12441,4,-0.929,0.07,-0.13,0.34,332.47,11.17,-12.6,-0.08,0,0,3.47,0.76,-0.46,0.92,-0.25,-0.27,0.94
0.12953,6,-0.984,0.04,0.12,0.12,0.59,-14.69,-2.45,-0.11,-0,-0,3.52,0,0,-0.31,0.15,-0.07,0.99
0.13188,3,-0.893,-0.1,-0.05,-0.44,66.02,0.18,12.78,-0.02,0,0.01,3.75,-0.15,-0.46,0.15,-0.01,0.23,0.98
0.23048,7,-0.971,0.1,0.2,-0.08,26.81,-21.66,-14.4,-0.12,0,0.02,3.6,0.15,0,0.31,0.27,-0.22,0.97
0.23227,2,-0.787,-0.03,-0.01,0.62,298.01,2.67,2.12,-0.03,-0,0.01,3.7,0.92,0.31,1.83,-0.05,0.01,1
0.23849,1,0.185,0.11,-0.05,-0.98,216.26,11.01,7.97,-0.05,0,0.02,3.71,-0.15,0,0.61,-0.15,0.12,1
0.24006,5,-0.855,-0.04,-0.11,-0.51,76.02,8.42,10.69,-0.07,0,0.01,3.52,-0.15,0,1.53,-0.18,0.24,0.97
0.24546,0,0.029,-0.11,-0.05,-0.99,196.84,-12.39,5.16,-0.02,-0,0.01,3.5,0,1.07,0.15,0.23,0.08,0.97
0.24723,4,-0.929,0.07,-0.13,0.34,332.54,11.12,-12.53,-0.08,0.01,0,3.47,0.15,-0.61,0.46,-0.24,-0.27,0.94
0.2525,6,-0.984,0.04,0.12,0.12,0.52,-14.58,-2.43,-0.11,-0,-0,3.52,0,0,0.46,0.15,-0.07,0.99
0.25422,3,-0.893,-0.1,-0.05,-0.44,66.01,0.14,12.74,-0.01,0,0.01,3.75,0,0,0.46,-0.02,0.23,0.98
0.30252,7,-0.971,0.1,0.2,-0.09,26.79,-21.53,-14.32,-0.11,0,0.02,3.6,0.15,0,0.31,0.28,-0.22,0.97
0.30416,2,-0.787,-0.03,-0.01,0.62,298.07,2.7,2.2,-0.03,-0,0,3.7,0.31,0,0.61,-0.06,0.01,1
0.30997,1,0.186,0.11,-0.05,-0.98,216.41,10.95,7.95,-0.05,0,0.03,3.71,0,0.46,0.46,-0.14,0.12,1.01
0.31202,5,-0.854,-0.04,-0.11,-0.51,76.1,8.45,10.71,-0.05,0.01,0.02,3.52,-0.31,-0.15,0.92,-0.18,0.23,0.98
0.33506,0,0.03,-0.11,-0.05,-0.99,196.91,-12.22,5.11,-0.02,-0,0,3.5,0,1.22,0.92,0.23,0.08,0.97
0.3373,4,-0.929,0.07,-0.13,0.34,332.59,11.12,-12.6,-0.08,0,0,3.47,0.15,0,0,-0.25,-0.26,0.94
0.34463,6,-0.985,0.04,0.12,0.12,0.6,-14.52,-2.45,-0.12,0,-0,3.52,0,0.15,0,0.14,-0.07,0.99
0.34677,3,-0.893,-0.1,-0.05,-0.44,66.08,0.2,12.78,-0.01,0,0.01,3.75,-0.15,-0.46,-0.92,-0.01,0.23,0.98
0.42521,7,-0.971,0.1,0.2,-0.09,26.85,-21.46,-14.32,-0.12,0,0.03,3.6,0.15,0.15,0.46,0.27,-0.22,0.97
0.42676,2,-0.788,-0.03,-0.01,0.62,298.08,2.77,2.19,-0.03,0,0,3.7,0,0,0.31,-0.06,0.01,1
0.43189,1,0.186,0.11,-0.05,-0.98,216.34,10.95,7.93,-0.05,0,0.02,3.71,-0.15,0.15,0.31,-0.15,0.12,1.01
