0,3,0.122,0.82,0.54,-0.14,79.42,20.9,176.62,0.07,0.04,0,3.69,-1.53,0.76,-0.92,-0.36,0.14,-0.93
0.0017,4,0.172,0.73,0.66,-0.02,96.06,14.78,166.51,0.01,0.08,0.02,3.69,0.31,-3.2,16.02,-0.34,0.25,-0.93
0.0629,1,-0.613,-0.14,0.13,-0.77,117.14,-22.22,-1.99,0,-0.01,-0.01,3.82,0.46,0.76,1.37,0.38,-0.04,0.91
0.0643,5,-0.025,0.78,0.6,-0.2,91.73,16.39,-163.11,0.15,0.02,-0.01,3.75,-1.07,-1.53,-1.68,-0.27,-0.13,-0.96
0.0691,2,0.053,0.47,0.87,-0.16,138.79,13.95,-166.48,-0.12,0.15,-0.01,3.83,0.61,3.36,-0.46,-0.28,-0.4,-0.87
0.0707,7,0.812,0,-0.1,-0.58,302.81,-9.25,6.92,0,-0.01,-0,0,0,1.98,0.61,0.15,0.12,0.98
0.0746,0,-0.699,-0.09,0.06,-0.71,104.39,-11.95,2.56,-0,0,-0,3.82,1.07,0,1.22,0.21,0.05,0.98
0.0762,6,-0.817,0.02,0.13,0.56,304.15,-13.07,6.59,0,-0.01,0,3.7,0,1.37,0.61,0.22,0.11,0.97
0.1009,3,0.123,0.82,0.54,-0.14,79.47,20.88,176.59,0.06,0.02,-0,3.69,-0.76,1.07,-1.37,-0.35,0.12,-0.93
0.1026,4,0.173,0.73,0.66,-0.02,95.86,14.89,166.45,-0.02,0.04,-0,3.69,0.31,4.27,-12.97,-0.29,0.21,-0.93
0.18,1,-0.611,-0.14,0.13,-0.77,117.33,-22.3,-2.03,-0,0,-0,3.82,0,-0.76,0.61,0.38,-0.02,0.93
0.1838,5,-0.024,0.78,0.6,-0.2,91.63,16.48,-163.24,0.15,0,-0.01,3.75,-2.75,1.22,2.14,-0.25,-0.14,-0.96
0.1899,2,0.049,0.47,0.86,-0.16,138.17,13.73,-166.32,-0.12,0.13,-0.01,3.83,0.92,2.44,-1.22,-0.27,-0.39,-0.88
0.1915,7,0.812,0,-0.1,-0.57,302.94,-9.02,6.95,0,-0,-0,0,0.15,1.37,0.61,0.16,0.12,0.98
0.195,0,-0.699,-0.09,0.06,-0.71,104.51,-11.97,2.62,0,-0,0.01,3.82,0.46,0.46,1.53,0.22,0.05,0.99
0.1967,6,-0.817,0.02,0.12,0.56,304.2,-12.84,6.48,-0,-0,0,3.7,0,0.92,0,0.22,0.11,0.97
0.2011,3,0.122,0.82,0.54,-0.14,79.57,20.76,176.62,0.06,0.01,-0,3.69,0.31,0.46,-0.76,-0.34,0.12,-0.93
0.2027,4,0.17,0.73,0.66,-0.02,96,14.6,166.55,-0.01,0.02,0,3.69,1.07,1.53,4.43,-0.27,0.22,-0.94
0.2799,1,-0.612,-0.14,0.13,-0.77,117.2,-22.43,-2.03,-0,-0,-0,3.82,-0.61,-0.92,-1.22,0.38,-0.03,0.92
0.2814,5,-0.021,0.78,0.6,-0.2,91.3,16.5,-163.73,0.16,0.01,-0.02,3.75,-2.59,0.46,1.53,-0.25,-0.12,-0.95
0.2863,2,0.047,0.48,0.86,-0.16,137.72,13.63,-165.98,-0.12,0.13,-0.02,3.83,1.68,0.61,0.46,-0.28,-0.4,-0.87
0.2878,7,0.813,0,-0.1,-0.57,303.09,-8.91,6.94,-0,-0.01,-0,0,0.31,1.22,0.92,0.15,0.12,0.98
0.2915,0,-0.698,-0.09,0.06,-0.71,104.57,-11.92,2.61,0,-0,-0,3.82,0,-0.31,-0.15,0.21,0.04,0.97
0.2929,6,-0.818,0.02,0.12,0.56,304.35,-12.7,6.4,0.01,-0,0,3.7,0.15,1.07,0.76,0.22,0.12,0.97
0.3029,3,0.122,0.82,0.54,-0.14,79.55,20.81,176.57,0.06,0.01,0,3.69,-0.15,0,0.76,-0.34,0.11,-0.93
0.3045,4,0.168,0.74,0.66,-0.02,95.89,14.44,166.76,-0.02,0.01,0,3.69,1.98,1.98,-2.14,-0.27,0.2,-0.94
0.3821,1,-0.613,-0.14,0.14,-0.77,117.1,-22.53,-2.03,0,0,-0,3.82,-0.31,0,-1.07,0.38,-0.04,0.92
0.3843,5,-0.019,0.78,0.6,-0.2,91.21,16.47,-163.96,0.15,-0,-0.01,3.75,-0.46,1.53,0.61,-0.24,-0.13,-0.96
0.3884,2,0.045,0.48,0.86,-0.17,137,13.68,-165.66,-0.13,0.12,-0.01,3.83,1.07,-0.15,1.22,-0.26,-0.4,-0.88
0.3899,7,0.813,0.01,-0.1,-0.57,303.07,-8.63,6.98,0,0,-0,0,0.15,1.07,-0.15,0.15,0.12,0.98
0.3934,0,-0.698,-0.09,0.06,-0.71,104.51,-12.02,2.69,0,0,0,3.82,-0.15,-0.76,-0.61,0.21,0.04,0.98
0.3949,6,-0.818,0.02,0.12,0.56,304.33,-12.59,6.43,0,0,0,3.7,-0.15,0.61,-1.07,0.22,0.11,0.97
0.4039,3,0.123,0.82,0.54,-0.14,79.47,20.88,176.5,0.06,0.01,-0,3.69,0,-0.61,0.61,-0.34,0.11,-0.93
0.4054,4,0.167,0.73,0.66,-0.02,95.99,14.36,166.94,-0.04,0.01,-0.01,3.69,-0.92,-1.37,1.98,-0.26,0.18,-0.94
0.4809,1,-0.614,-0.14,0.14,-0.76,116.92,-22.63,-2.1,-0,0,0,3.82,-0.31,-0.46,-1.07,0.38,-0.03,0.92
0.4829,5,-0.019,0.78,0.59,-0.2,91,16.43,-164.14,0.15,-0.01,-0.02,3.75,-1.07,0.15,2.44,-0.23,-0.12,-0.96
0.4875,2,0.044,0.48,0.86,-0.17,137.09,13.76,-165.45,-0.16,0.13,0,3.83,-6.1,-5.19,-7.48,-0.26,-0.43,-0.88
0.4889,7,0.812,0.01,-0.1,-0.58,302.93,-8.56,7.04,0,-0,0,0,0,0.31,-1.22,0.15,0.12,0.98
0.4923,0,-0.698,-0.09,0.06,-0.71,104.53,-12.1,2.66,0.01,-0,0.01,3.82,-0.46,0.76,2.59,0.22,0.03,0.98
0.4938,6,-0.817,0.02,0.12,0.56,304.23,-12.55,6.41,0.01,0,0,3.7,-0.46,0.46,-1.07,0.22,0.11,0.97
0.5059,3,0.124,0.82,0.54,-0.14,79.56,21.01,176.45,0.06,0.02,-0.01,3.69,-0.15,-0.31,-4.27,-0.35,0.12,-0.92
0.5074,4,0.169,0.74,0.65,-0.02,95.26,14.4,166.61,-0.01,0.04,0.01,3.69,-1.22,-0.15,2.14,-0.3,0.23,-0.94
0.5841,1,-0.615,-0.14,0.14,-0.76,116.77,-22.57,-2.04,0,-0.01,-0,3.82,0,1.37,-0.61,0.39,-0.04,0.92
0.5858,5,-0.018,0.78,0.59,-0.2,90.92,16.49,-164.27,0.15,0,-0.02,3.75,0,-0.92,0.31,-0.24,-0.12,-0.95
0.5895,2,0.048,0.48,0.86,-0.17,137.71,13.97,-165.81,-0.11,0.16,-0.03,3.83,-7.63,-1.98,-7.93,-0.3,-0.4,-0.85
0.5909,7,0.812,0.01,-0.1,-0.58,302.95,-8.55,7.02,0,-0.01,-0,0,-0.31,0.61,-0.31,0.14,0.12,0.98
0.5944,0,-0.696,-0.09,0.06,-0.71,104.85,-12.12,2.52,-0,-0.01,-0.01,3.82,-0.46,-0.61,2.44,0.22,0.04,0.97
0.5958,6,-0.817,0.02,0.12,0.56,304.23,-12.52,6.36,0.01,-0,0,3.7,-0.31,0.15,-0.46,0.22,0.12,0.97
0.6049,3,0.124,0.82,0.54,-0.14,79.93,21.03,176.49,0.05,0,0,3.69,-0.61,1.98,-1.83,-0.34,0.1,-0.93
0.6063,4,0.164,0.73,0.66,-0.02,96.66,14.47,167.43,-0.01,0.05,0.02,3.69,15.56,4.43,-27.47,-0.3,0.21,-0.95
0.6859,1,-0.614,-0.14,0.13,-0.76,116.92,-22.48,-1.99,-0,-0,-0.01,3.82,0.76,0,1.07,0.38,-0.03,0.91
0.6876,5,-0.017,0.78,0.59,-0.2,91,16.58,-164.33,0.14,0.01,-0.01,3.75,0.15,-1.53,-4.12,-0.26,-0.12,-0.95
0.6914,2,0.05,0.48,0.86,-0.16,137.08,14.05,-166.27,-0.1,0.12,-0.02,3.83,-3.2,3.36,3.05,-0.27,-0.37,-0.87
0.6928,7,0.813,0.01,-0.1,-0.57,303.04,-8.56,6.98,0,0.01,-0,0,-0.61,-0.15,-0.15,0.16,0.12,0.97
0.6962,0,-0.695,-0.09,0.06,-0.71,105.05,-12.26,2.42,-0,0,0,3.82,-0.92,-0.61,0.31,0.22,0.04,0.98
0.6977,6,-0.817,0.02,0.12,0.56,304.09,-12.5,6.26,0,0,0,3.7,-0.61,-0.46,-0.61,0.22,0.11,0.97
0.707,3,0.123,0.82,0.54,-0.13,80,20.79,176.49,0.07,0.01,0,3.69,-0.46,2.75,-0.15,-0.34,0.13,-0.94
0.7086,4,0.152,0.72,0.68,-0.03,99.38,14.57,169.5,-0.07,0.03,-0.03,3.69,7.02,4.27,-14.65,-0.28,0.1,-0.93
0.7868,1,-0.613,-0.14,0.13,-0.77,117.07,-22.52,-2,-0.01,0,0,3.82,0.15,-0.31,-0.31,0.37,-0.03,0.93
0.7883,5,-0.016,0.78,0.6,-0.2,91.14,16.65,-164.37,0.13,0.02,-0.01,3.75,0,-0.15,-1.07,-0.27,-0.13,-0.95
0.7922,2,0.049,0.49,0.86,-0.16,136.26,13.92,-166.58,-0.13,0.11,-0,3.83,-6.87,0.15,0.31,-0.26,-0.39,-0.9
0.7936,7,0.813,0,-0.1,-0.58,302.96,-8.61,6.85,-0,-0.01,0,0,-0.46,-0.76,0.46,0.14,0.12,0.98
0.7971,0,-0.695,-0.09,0.06,-0.71,105.07,-12.39,2.34,0.01,-0.01,0.01,3.82,0,-2.59,-0.15,0.23,0.03,0.98
