0,0,0.621,0.14,-0.03,0.77,115.16,-14.79,8.25,0.07,-0,0,3.87,0,0,0.46,0.24,0.07,0.97
0.00147,1,-0.488,0,-0.02,-0.87,135.58,1.16,1.75,0.03,0,0,3.87,0.15,0.46,-0.15,-0.03,0.01,1
0.00562,5,0.978,0.12,0.17,-0,16.22,19.08,14.86,0.01,0,0.02,3.82,-0.31,0,0,-0.33,0.24,0.93
0.00707,6,-0.863,0.06,0.11,0.49,314.83,-13.93,0.63,-0.02,-0,0,3.76,0,0,-0.31,0.23,-0,0.97
0.02535,4,0.778,0.02,0.22,-0.59,297.24,22.16,-13.97,-0.03,0,0.01,3.75,0.46,0,-1.22,-0.38,-0.26,0.9
0.02738,3,0.967,-0.07,0.05,0.24,41.46,7.61,-6.51,-0.01,0,0.01,3.75,0.76,-0.31,0.46,-0.14,-0.11,0.99
0.08333,2,0.336,0.05,0.02,-0.94,233.32,6,0.22,0.01,0.01,-0,3.9,0,0.15,0.15,-0.11,0.02,0.99
0.08495,7,0.985,0.04,-0.09,-0.15,356.75,-9.2,5.58,-0.03,-0,0,0,0.15,0.15,-0.15,0.13,0.09,0.99
0.08844,0,0.621,0.14,-0.03,0.77,115.23,-14.72,8.18,0.07,0,0.01,3.87,-0.15,1.37,0,0.24,0.07,0.98
0.08985,1,-0.488,0,-0.02,-0.87,135.66,1.18,1.75,0.03,0,0,3.87,0,-0.15,0,-0.04,0.01,1
0.09336,5,0.978,0.12,0.17,-0,16.3,19.02,14.87,0.01,-0,0.01,3.82,0,-0.15,0.31,-0.32,0.25,0.93
0.09588,6,-0.864,0.06,0.11,0.49,314.91,-13.94,0.63,-0.02,-0,0,3.76,0,0.31,0.15,0.23,-0,0.98
0.11744,4,0.778,0.02,0.22,-0.59,297.2,22.14,-14,-0.04,0,0,3.75,0.31,0,-0.61,-0.39,-0.26,0.89
0.11905,3,0.967,-0.07,0.05,0.24,41.56,7.62,-6.47,-0.02,-0.01,0.02,3.75,-1.07,-1.22,2.9,-0.15,-0.1,1
0.17856,2,0.335,0.05,0.02,-0.94,233.3,5.93,0.14,0.01,0.01,0,3.9,0.31,-0.31,0.31,-0.11,0.01,1
0.18017,7,0.985,0.04,-0.09,-0.15,356.8,-9.15,5.59,-0.02,0,-0.01,0,0,0.31,1.53,0.14,0.09,0.98
0.18395,0,0.621,0.14,-0.03,0.77,115.34,-14.6,8.03,0.06,-0,0,3.87,0.31,0.76,0.46,0.24,0.07,0.97
0.18575,1,-0.487,0,-0.02,-0.87,135.77,1.18,1.77,0.02,0,0,3.87,-0.31,1.07,0.15,-0.03,0.01,1
0.18919,5,0.978,0.12,0.17,-0,16.33,19.02,14.81,0.01,-0,0.02,3.82,0.31,0,1.22,-0.33,0.25,0.93
0.1906,6,-0.864,0.06,0.11,0.49,315,-13.94,0.61,-0.02,-0,0,3.76,0,0,0.31,0.23,-0.01,0.98
0.21294,4,0.777,0.02,0.22,-0.59,297.15,22.15,-14.04,-0.04,0,0.01,3.75,-0.61,-0.15,0.61,-0.38,-0.26,0.89
0.21447,3,0.966,-0.07,0.05,0.24,41.66,7.62,-6.55,-0,-0,0.01,3.75,-0.31,0,-0.15,-0.14,-0.11,0.99
0.31437,2,0.336,0.05,0.02,-0.94,233.43,5.91,0.17,0.01,0,0.01,3.9,0.15,0,1.22,-0.11,0.01,1
