0.020487,5,0.975,0.14,0.16,0.08,25.8,16.7,17.56,-0.01,0,0.02,3.82,0.46,-1.22,-0.15,-0.31,0.3,0.92
0.022522,7,0.88,0.02,-0.01,-0.48,317.31,0.46,2.76,-0.01,0,0,0,0,-0.31,0,-0.01,0.04,1
0.027002,2,-0.477,-0.05,0.02,0.88,251.29,3.6,4.77,0,0,0,3.91,0,0.61,2.14,-0.06,0.09,0.99
0.029132,3,0.952,-0.05,-0.03,0.3,49.19,-1.13,-6.18,-0.05,0,0,3.76,0,-0.46,0.61,-0.02,-0.09,1
0.084925,4,0.716,-0.06,0.19,-0.67,285.93,11.15,-20.69,-0.02,0.01,-0,3.75,0.92,-0.15,1.07,-0.19,-0.36,0.91
0.086774,6,-0.859,-0.08,0.05,0.5,313.24,-0.82,10.94,-0.01,0,0.01,3.76,0,-0.46,0.31,0.01,0.18,0.99
0.11446,1,0.459,-0.17,0.14,0.86,139.18,24.55,5.69,0.02,-0,0.02,3.9,0,0.76,0,-0.43,0.07,0.92
0.12291,0,0.372,-0.03,0.07,0.92,150.53,6.25,6.23,-0,0.01,0.01,3.88,-0.31,0,0.61,-0.11,0.12,1
0.12921,5,0.975,0.14,0.16,0.08,25.68,16.55,17.58,-0.03,0.01,0.01,3.82,-0.46,-1.53,1.68,-0.32,0.29,0.92
0.13092,7,0.88,0.02,-0.01,-0.47,317.37,0.43,2.69,-0.01,-0,0,0,0.15,-0.15,0,-0.02,0.04,1
0.13491,2,-0.479,-0.05,0.02,0.88,251.47,3.6,4.79,0.01,0,-0,3.91,-0.15,-0.92,1.22,-0.06,0.09,0.99
0.13659,3,0.952,-0.05,-0.03,0.3,49.31,-1.06,-6.18,-0.05,0.02,0.02,3.76,-1.22,0,0.61,-0.03,-0.1,1.02
0.19424,4,0.717,-0.06,0.19,-0.67,286.18,11.04,-20.58,-0.02,-0,0.01,3.75,1.07,-0.76,0.31,-0.19,-0.36,0.92
0.19612,6,-0.859,-0.08,0.05,0.5,313.29,-0.81,10.85,-0,-0.01,0.01,3.76,0,0,-0.61,0,0.19,0.99
0.19982,1,0.459,-0.17,0.14,0.86,139.15,24.61,5.73,0.03,0.01,0,3.9,0,0.46,-0.15,-0.44,0.07,0.9
0.20152,0,0.372,-0.03,0.07,0.93,150.63,6.19,6.31,-0,-0,0.01,3.88,0.76,0.15,-0.76,-0.1,0.11,0.99
0.22583,5,0.975,0.14,0.16,0.08,25.74,16.4,17.46,-0.05,0,0.02,3.82,-0.92,0.46,2.14,-0.33,0.29,0.91
0.22872,7,0.88,0.02,-0.01,-0.47,317.4,0.47,2.64,-0.01,0,-0.01,0,0,0,0.61,-0.01,0.04,0.99
0.23275,2,-0.479,-0.05,0.02,0.88,251.59,3.62,4.93,0.01,0.01,0,3.91,0.31,0.31,-1.07,-0.06,0.09,0.99
0.23445,3,0.952,-0.05,-0.02,0.3,49.28,-0.86,-6.39,-0.04,-0,-0.01,3.76,-2.75,2.29,-2.9,-0.01,-0.09,0.98
0.29304,4,0.718,-0.06,0.19,-0.67,286.27,11.03,-20.56,-0.01,-0.01,0,3.74,-0.76,0,0.61,-0.21,-0.35,0.92
0.29556,6,-0.858,-0.08,0.05,0.5,313.15,-0.69,10.89,-0.01,0,-0,3.76,0,0.46,-1.07,0.02,0.18,0.98
0.29915,1,0.459,-0.17,0.14,0.86,139.18,24.67,5.74,0.02,-0,0.01,3.9,-0.31,0.61,0.15,-0.44,0.07,0.92
0.30079,0,0.373,-0.03,0.07,0.92,150.52,6.41,6.32,-0.01,-0.01,-0.01,3.88,0,1.53,-1.37,-0.1,0.11,0.99
0.32066,5,0.975,0.13,0.16,0.08,25.81,16.39,17.43,-0.02,0,0.03,3.82,-0.61,-0.61,-1.07,-0.31,0.3,0.94
0.32266,7,0.88,0.02,-0.01,-0.47,317.49,0.36,2.58,0.01,0,0,0,0.46,-1.53,-0.61,0,0.05,1
0.32912,2,-0.478,-0.05,0.02,0.88,251.46,3.57,4.8,0.02,0,0,3.91,-0.61,-0.31,-1.53,-0.07,0.1,0.99
0.33097,3,0.952,-0.05,-0.02,0.3,49.08,-0.7,-6.44,-0.05,-0,0.01,3.76,-0.15,-1.07,1.98,-0.02,-0.08,1.01
0.39407,4,0.718,-0.06,0.19,-0.67,286.23,11.12,-20.55,-0.01,-0,0,3.75,-0.31,0.76,-0.15,-0.2,-0.35,0.92
0.39607,6,-0.858,-0.08,0.05,0.5,313.09,-0.75,10.91,-0.02,-0.01,0,3.76,0.31,-1.07,1.22,-0,0.17,0.98
0.39963,1,0.46,-0.17,0.14,0.86,139.05,24.71,5.64,0.03,0.01,0.01,3.9,0,-0.46,-0.31,-0.44,0.06,0.9
0.4012,0,0.374,-0.03,0.07,0.92,150.39,6.41,6.35,0,0,0.01,3.88,0.15,0,0.15,-0.13,0.11,1
0.42664,5,0.976,0.13,0.16,0.08,25.61,16.38,17.4,-0.02,0.01,-0,3.82,0,-1.22,-4.43,-0.31,0.28,0.91
0.42902,7,0.88,0.02,-0.01,-0.47,317.46,0.3,2.55,0.01,-0,-0.01,0,0,-0.31,0.92,0,0.06,0.99
0.43316,2,-0.478,-0.05,0.02,0.88,251.42,3.64,4.87,0,-0.01,-0,3.91,0.61,0.76,1.37,-0.06,0.08,0.98
0.43512,3,0.952,-0.05,-0.02,0.3,49.04,-0.77,-6.57,-0.03,0,0.02,3.76,-2.75,1.22,-0.92,-0.01,-0.11,1.01
0.48647,4,0.718,-0.06,0.19,-0.67,286.24,11.17,-20.7,-0.01,0.01,-0.01,3.75,-0.46,0.61,1.22,-0.18,-0.35,0.91
0.48817,6,-0.858,-0.08,0.05,0.5,313.15,-0.84,10.9,-0,-0.01,0.01,3.76,0,-0.61,1.22,0,0.19,0.99
0.49445,1,0.46,-0.17,0.14,0.86,138.95,24.75,5.56,0.02,-0.01,0.02,3.9,0.15,0.46,-0.46,-0.43,0.07,0.92
0.49664,0,0.372,-0.03,0.07,0.92,150.65,6.55,6.46,-0,-0,-0,3.88,0.46,2.29,-1.07,-0.11,0.11,0.99
0.5245,5,0.976,0.13,0.16,0.08,25.45,16.42,16.96,-0.02,-0.01,0.02,3.82,-5.34,0.31,1.53,-0.3,0.3,0.93
