0.060927
0.062596,0.15,0,0.7,0.967,-0.01,0,0.26,43.69,0.39,-0.89,0.09,0,-0,3.7,-0.15,0.46,-1.22,0.08,-0.06,1
0.065796,3,0.674,-0.08,0.17,0.72,108.99,19.57,8.51,0.09,0,0.01,3.58,0.31,-0.46,0.92,-0.34,0.05,0.95
0.066585,6,0.905,-0.11,-0.09,-0.4,327.32,-14.93,-7.15,-0.02,0,0,3.55,-0.15,-0.15,0.61,0.25,-0.14,0.96
0.1147,4,0.97,-0.09,0.12,-0.19,350.29,11.22,-12.99,-0.01,0,0.01,3.51,0,0.61,-0.15,-0.2,-0.23,0.96
0.11633,1,-0.046,0.08,0.06,0.99,198.84,-9.58,6.64,-0.06,-0,0.02,3.77,0.15,-0.15,0.31,0.23,0.11,0.99
0.11898,0,-0.051,-0.12,-0.02,-0.99,187.74,-13.05,3.59,0.09,-0,0.01,3.84,0,-0.76,-0.15,0.14,0.05,1
0.11992,5,0.953,0.12,0.16,0.23,43.32,14.36,18.45,0.11,-0,0.01,3.58,-0.15,0,0,-0.16,0.27,0.97
0.17032,2,0.647,0.11,0.05,-0.75,275.94,13.56,4.56,-0.01,-0,0,3.69,-0.46,-0.15,-0.31,-0.24,0.07,0.97
0.17128,7,0.967,-0.01,0,0.26,43.73,0.36,-0.95,0.09,0,-0,3.7,-0.15,0,-0.15,0.07,-0.06,1
0.17409,3,0.673,-0.08,0.17,0.72,109.09,19.52,8.5,0.09,0,0.01,3.58,0,-0.15,0.15,-0.35,0.05,0.95
0.17541,6,0.905,-0.11,-0.09,-0.4,327.36,-14.95,-7.15,-0.03,-0.01,0,3.55,0.15,0,-0.15,0.23,-0.14,0.96
0.19162,4,0.97,-0.09,0.12,-0.19,350.21,11.25,-13.04,-0.01,0,0.01,3.51,-0.46,0.15,-0.46,-0.21,-0.23,0.96
0.19276,1,-0.046,0.08,0.06,0.99,198.82,-9.75,6.63,-0.06,0,0.02,3.77,0.31,0.15,0.15,0.23,0.11,0.99
0.23439,0,-0.051,-0.11,-0.02,-0.99,187.78,-12.99,3.58,0.08,-0,0.01,3.84,0,-0.46,-0.15,0.14,0.05,1
0.23563,5,0.953,0.12,0.16,0.23,43.33,14.3,18.43,0.11,-0,0.01,3.58,0.15,0.61,0.46,-0.15,0.27,0.97
0.25425,2,0.646,0.11,0.05,-0.75,275.86,13.55,4.55,-0.01,-0,0,3.69,-0.15,-0.61,-0.61,-0.24,0.06,0.97
0.25522,7,0.967,-0.01,0,0.26,43.71,0.35,-0.93,0.09,0,-0.01,3.7,0.61,1.07,0.31,0.07,-0.06,0.99
0.29543,3,0.673,-0.08,0.17,0.72,109.11,19.5,8.41,0.09,-0,0.01,3.58,0,0,0.76,-0.34,0.05,0.95
0.29638,1,-0.046,0.08,0.06,0.99,198.83,-9.87,6.64,-0.06,-0,0.02,3.77,0,-1.22,0.15,0.23,0.11,0.99
0.35167,4,0.97,-0.09,0.12,-0.19,350.14,11.2,-13.05,-0.01,0,0.01,3.51,0,-0.15,-0.31,-0.21,-0.23,0.96
0.35274,5,0.953,0.12,0.16,0.23,43.31,14.26,18.38,0.11,0,0.01,3.58,-0.31,0.76,0,-0.15,0.26,0.97
0.35516,0,-0.051,-0.11,-0.02,-0.99,187.76,-12.94,3.57,0.09,0,0.01,3.84,0.61,0,0.31,0.14,0.05,1
0.35611,7,0.966,-0.01,0,0.26,43.79,0.41,-0.91,0.09,0,-0.01,3.7,0.46,0.61,0,0.07,-0.06,0.99
0.35851,2,0.646,0.11,0.05,-0.75,275.88,13.45,4.5,-0.01,-0.01,0.01,3.69,0,-0.46,0.46,-0.23,0.06,0.97
0.35949,6,0.906,-0.11,-0.09,-0.4,327.45,-14.83,-7.36,-0.03,0,0,3.55,-0.46,0,0.92,0.24,-0.14,0.96
0.40616,3,0.673,-0.08,0.17,0.72,109.08,19.52,8.45,0.09,-0,0,3.58,0.46,0.31,0.15,-0.34,0.05,0.95
0.40728,1,-0.047,0.08,0.06,0.99,198.87,-10.06,6.66,-0.05,0,0.03,3.77,0.15,-0.61,0,0.23,0.12,0.99
0.42758,4,0.97,-0.09,0.12,-0.19,350.25,11.19,-13.13,-0.01,0,0.01,3.51,-0.61,0,0.92,-0.21,-0.23,0.96
0.43133,5,0.953,0.12,0.16,0.23,43.27,14.26,18.34,0.11,-0,0.02,3.58,0,0.46,-0.31,-0.16,0.27,0.97
0.44595,0,-0.05,-0.11,-0.03,-0.99,187.84,-12.93,3.65,0.09,0,0,3.84,0.46,-0.76,0,0.14,0.06,1
0.44682,7,0.966,-0.01,0,0.26,43.85,0.44,-0.91,0.09,0,-0.01,3.7,0.31,0.61,-0.46,0.07,-0.06,1
0.51255,2,0.647,0.11,0.05,-0.75,275.93,13.44,4.5,0,0,0,3.69,-0.76,-0.92,-0.15,-0.23,0.08,0.97
0.51424,1,-0.048,0.09,0.06,0.99,198.99,-10.18,6.72,-0.05,0,0.03,3.77,-0.31,-1.07,0,0.23,0.11,0.99
0.53224,4,0.969,-0.09,0.12,-0.19,350.18,11.25,-13.27,-0.02,-0,0.01,3.51,-1.37,0.92,-0.46,-0.21,-0.23,0.96
0.53325,5,0.953,0.12,0.16,0.23,43.33,14.35,18.41,0.12,0.01,0.01,3.58,0.76,2.14,0.61,-0.15,0.26,0.96
0.54545,3,0.673,-0.08,0.17,0.72,109.03,19.54,8.46,0.09,-0,0.01,3.58,0.76,0,0.46,-0.35,0.05,0.96
0.54649,7,0.967,-0.01,0,0.26,43.69,0.4,-0.91,0.1,0,-0.01,3.7,1.22,0.92,-3.05,0.08,-0.07,0.99
0.60918,0,-0.05,-0.11,-0.03,-0.99,187.84,-12.96,3.72,0.09,0,0.01,3.84,0.31,-1.22,-0.31,0.14,0.06,1
0.61038,1,-0.049,0.09,0.06,0.99,199.04,-10.32,6.73,-0.05,-0,0.02,3.77,0.15,-0.61,0.76,0.23,0.11,0.99
0.61726,2,0.646,0.11,0.05,-0.75,275.74,13.38,4.33,-0.01,0.01,-0,3.69,-1.22,-0.61,-0.15,-0.22,0.06,0.97
0.61819,5,0.953,0.12,0.16,0.23,43.33,14.4,18.45,0.12,-0,0,3.58,0,0.15,-0.15,-0.15,0.26,0.96
0.65724,4,0.969,-0.09,0.12,-0.19,350.19,11.36,-13.43,-0.01,-0,0.01,3.51,-0.31,0.92,-0.61,-0.2,-0.23,0.96
0.6585,7,0.967,-0.01,0,0.25,43.4,0.37,-0.91,0.09,-0,-0,3.7,0.61,0.61,-2.14,0.07,-0.05,0.99
0.7314,3,0.675,-0.08,0.17,0.71,108.81,19.51,8.47,0.1,-0,-0,3.58,1.37,0.15,0.76,-0.33,0.04,0.94
0.73256,6,0.906,-0.11,-0.09,-0.4,327.76,-14.92,-7.51,-0.02,-0,0,3.55,0,-0.31,0.61,0.24,-0.14,0.96
0.73582,0,-0.051,-0.11,-0.03,-0.99,187.75,-12.94,3.74,0.09,0,0.01,3.84,0.31,-1.53,0,0.15,0.05,1
0.73694,1,-0.049,0.09,0.06,0.99,199.1,-10.42,6.74,-0.05,0,0.02,3.77,-0.15,-0.46,0,0.23,0.11,0.99
0.74017,2,0.646,0.11,0.05,-0.75,275.71,13.28,4.13,-0,-0.01,0.01,3.69,-1.07,-0.61,0,-0.23,0.07,0.98
0.74154,5,0.953,0.12,0.16,0.23,43.3,14.3,18.42,0.11,-0.01,0.01,3.58,0.46,0,0,-0.16,0.27,0.97
0.7533,4,0.969,-0.09,0.12,-0.19,350.2,11.46,-13.51,-0.01,-0,0,3.51,-0.92,0.61,0.61,-0.21,-0.23,0.96
0.75421,7,0.968,-0.01,0,0.25,43.23,0.38,-0.86,0.09,0,-0,3.7,0.46,0.46,-1.83,0.07,-0.05,0.99
0.77869,3,0.674,-0.07,0.17,0.72,108.91,19.49,8.57,0.09,0,0.01,3.58,0.76,0,0.31,-0.34,0.06,0.95
0.77959,6,0.906,-0.11,-0.09,-0.4,327.77,-14.9,-7.52,-0.03,0,0,3.55,-0.31,0,0.15,0.24,-0.15,0.96
0.79931,0,-0.05,-0.12,-0.03,-0.99,187.86,-13.06,3.81,0.08,0,0.01,3.84,0,-1.07,-0.15,0.15,0.06,1
0.8005,1,-0.049,0.09,0.06,0.99,199.1,-10.49,6.74,-0.05,0,0.03,3.77,0,-0.76,0.15,0.24,0.11,1
0.82035,2,0.647,0.11,0.05,-0.75,275.84,13.18,4.07,-0,-0,0.01,3.69,-1.07,-0.61,-0.46,-0.23,0.06,0.98
0.82164,5,0.953,0.12,0.16,0.23,43.37,14.29,18.46,0.1,-0,0.01,3.58,0,0,0,-0.16,0.27,0.97
0.84615,3,0.674,-0.07,0.17,0.72,109.01,19.49,8.6,0.09,0,0.01,3.58,0,-0.46,0.46,-0.34,0.05,0.95
0.84786,7,0.968,-0.01,0,0.25,43.08,0.35,-0.88,0.09,-0,-0.01,3.7,0.31,0.15,-1.22,0.06,-0.05,0.99
0.93015,4,0.969,-0.09,0.12,-0.19,350.17,11.54,-13.57,-0,-0,0,3.51,-0.46,0.92,-0.61,-0.21,-0.23,0.96
0.93115,1,-0.05,0.09,0.06,0.99,199.19,-10.61,6.78,-0.05,-0,0.03,3.77,0,-0.61,0.15,0.24,0.11,0.99
0.93377,0,-0.05,-0.12,-0.03,-0.99,187.83,-13.09,3.79,0.08,-0,0.01,3.84,0,-0.76,0,0.15,0.05,1
0.93466,5,0.953,0.12,0.16,0.23,43.34,14.26,18.41,0.1,-0,0.01,3.58,0.15,0.61,-0.46,-0.16,0.27,0.97
0.95096,2,0.646,0.11,0.05,-0.75,275.75,13.17,4.03,-0.01,-0,0.01,3.69,-0.15,-0.15,-0.61,-0.23,0.06,0.97
0.95196,7,0.968,-0.01,0,0.25,43,0.35,-0.86,0.08,-0,-0,3.7,0.31,0.76,-0.92,0.07,-0.06,0.99
1.0132,4,0.969,-0.09,0.12,-0.19,350.18,11.59,-13.57,-0.01,0,0.01,3.51,0.46,-0.15,0,-0.21,-0.24,0.96
1.0147,1,-0.05,0.09,0.06,0.99,199.17,-10.68,6.77,-0.05,-0,0.02,3.77,0,-0.46,0,0.24,0.11,0.99
1.023,3,0.674,-0.07,0.17,0.72,108.98,19.43,8.63,0.08,0,0.01,3.58,0.15,-0.46,0.31,-0.34,0.06,0.95
1.024,5,0.953,0.12,0.16,0.23,43.25,14.27,18.41,0.11,0,0.01,3.58,0.15,0.76,-0.15,-0.16,0.26,0.96
1.0661,0,-0.051,-0.12,-0.03,-0.99,187.78,-13.13,3.77,0.08,-0,0.01,3.84,0,-0.46,-0.15,0.15,0.06,1
1.0671,7,0.969,-0.01,0,0.25,42.86,0.41,-0.86,0.09,0,-0,3.7,0,0.46,-1.22,0.06,-0.06,1
1.0697,2,0.646,0.11,0.05,-0.75,275.73,13.18,4.06,-0,-0,0.01,3.69,0,-0.31,-0.76,-0.23,0.06,0.98
1.0705,6,0.907,-0.11,-0.09,-0.4,327.98,-14.89,-7.76,-0.02,-0,0,3.55,-0.15,-0.46,0.76,0.24,-0.15,0.96
1.1009,4,0.969,-0.09,0.12,-0.19,350.08,11.58,-13.59,-0.01,0,0,3.51,-0.46,0.15,-1.07,-0.21,-0.24,0.95
1.102,1,-0.05,0.09,0.06,0.99,199.19,-10.78,6.77,-0.05,-0,0.02,3.77,0.15,0,0.15,0.24,0.11,0.99
1.1221,3,0.674,-0.07,0.17,0.72,108.93,19.39,8.68,0.09,0,0.01,3.58,0.46,0,0,-0.34,0.06,0.95
1.1233,5,0.953,0.12,0.16,0.23,43.25,14.27,18.38,0.1,0,0,3.58,0,0.15,0,-0.16,0.27,0.96
1.1652,0,-0.051,-0.12,-0.03,-0.99,187.73,-13.17,3.77,0.08,-0,0.01,3.84,0.31,-0.76,-0.31,0.15,0.05,1
1.1662,7,0.969,-0.01,0,0.25,42.75,0.39,-0.87,0.08,0,-0.01,3.7,0.31,0.46,-1.22,0.06,-0.06,0.99
1.1839,2,0.645,0.11,0.05,-0.75,275.61,13.14,3.99,-0.01,-0,0.01,3.69,-0.31,-0.61,-0.46,-0.23,0.06,0.98
1.1851,6,0.907,-0.11,-0.09,-0.39,328.04,-14.9,-7.79,-0.02,-0,-0,3.55,0,-0.46,-0.31,0.24,-0.15,0.96
1.2041,4,0.969,-0.09,0.12,-0.19,350.05,11.62,-13.68,-0.01,-0,0.01,3.51,-0.46,0.15,0,-0.22,-0.24,0.96
1.2052,1,-0.051,0.09,0.06,0.99,199.26,-10.83,6.83,-0.06,-0,0.02,3.77,0.15,0,0.15,0.24,0.11,0.98
1.223,3,0.675,-0.07,0.17,0.71,108.82,19.38,8.79,0.09,-0,0.01,3.58,0.61,0.31,0.31,-0.34,0.05,0.95
1.2239,5,0.953,0.12,0.16,0.23,43.14,14.15,18.29,0.1,-0,0.02,3.58,0.15,0,0.31,-0.16,0.27,0.97
1.2678,0,-0.052,-0.12,-0.03,-0.99,187.62,-13.1,3.76,0.08,0,0.01,3.84,0.31,-0.61,-0.15,0.15,0.06,1
1.269,7,0.969,-0.01,0,0.25,42.8,0.33,-0.94,0.08,0.01,-0.01,3.7,0.15,0.15,-0.31,0.06,-0.06,0.99
1.3248,2,0.645,0.11,0.05,-0.75,275.53,13.09,3.87,-0.01,0,0,3.69,-0.31,-0.76,-0.46,-0.23,0.06,0.98
1.3257,1,-0.051,0.09,0.06,0.99,199.31,-10.73,6.84,-0.05,0,0.03,3.77,-0.31,0,-0.31,0.24,0.11,0.99
1.3291,4,0.969,-0.1,0.12,-0.19,350.03,11.68,-13.75,-0.01,-0,0.01,3.51,-0.61,0.31,-0.15,-0.22,-0.24,0.96
1.33,5,0.953,0.12,0.16,0.23,43.18,14.14,18.31,0.1,0,0.01,3.58,-0.15,0,1.37,-0.16,0.27,0.96
1.3509,3,0.675,-0.07,0.17,0.71,108.89,19.41,8.77,0.09,0,0.01,3.58,0.31,0.15,0.61,-0.34,0.06,0.95
1.352,7,0.969,-0.01,-0,0.25,42.77,0.25,-1.01,0.08,-0,-0.01,3.7,0,0,0,0.06,-0.05,0.99
1.4351,0,-0.052,-0.12,-0.03,-0.99,187.6,-13.09,3.78,0.07,-0,0.01,3.84,0.15,-0.31,0,0.16,0.05,1
1.4366,1,-0.052,0.09,0.06,0.99,199.4,-10.87,6.86,-0.05,-0,0.02,3.77,0.15,0,0.31,0.24,0.11,0.99
1.4397,2,0.646,0.11,0.05,-0.75,275.66,12.96,3.86,-0.01,-0.01,0.01,3.69,-0.31,-0.46,-0.46,-0.23,0.05,0.98
1.4406,5,0.953,0.12,0.16,0.23,43.27,14.06,18.2,0.1,-0,0.01,3.58,-0.61,0,0.15,-0.16,0.27,0.96
1.4538,4,0.968,-0.1,0.12,-0.19,350,11.81,-13.81,-0.01,-0,-0,3.51,-0.15,0,0.61,-0.21,-0.23,0.95
1.4548,7,0.969,-0.01,-0,0.25,42.83,0.26,-1.02,0.08,0,-0.01,3.7,-0.46,0,0.31,0.07,-0.06,0.99
1.546,3,0.674,-0.07,0.17,0.72,108.92,19.48,8.69,0.09,0,0.01,3.58,0,-0.15,0,-0.35,0.05,0.95
1.547,1,-0.051,0.09,0.06,0.99,199.32,-10.86,6.81,-0.05,-0,0.02,3.77,0,0.61,0,0.24,0.11,0.99
1.5498,0,-0.052,-0.12,-0.03,-0.99,187.66,-13.12,3.81,0.07,0,0.01,3.84,0.61,-0.15,0.31,0.16,0.06,0.99
1.5508,5,0.953,0.12,0.16,0.23,43.21,13.93,18.15,0.1,0,0.01,3.58,-0.61,-0.15,0.46,-0.16,0.27,0.96
1.5661,2,0.645,0.11,0.05,-0.75,275.57,13.03,3.82,-0.01,0,0,3.69,-0.15,-0.31,-0.15,-0.23,0.06,0.98
1.5672,7,0.968,-0.01,-0,0.25,42.93,0.15,-1.13,0.07,0,-0,3.7,-0.31,-0.31,1.22,0.06,-0.05,1
1.6441,4,0.968,-0.1,0.12,-0.19,349.96,11.77,-13.77,-0.01,0.01,0.01,3.51,0.31,-0.46,0,-0.21,-0.25,0.96
1.6455,1,-0.051,0.09,0.06,0.99,199.32,-10.79,6.82,-0.05,0,0.02,3.77,0.46,0.61,0.46,0.24,0.11,0.99
1.6477,3,0.674,-0.07,0.17,0.71,108.88,19.47,8.66,0.08,0,0.01,3.58,-0.15,0,0.92,-0.34,0.06,0.95
1.6485,5,0.954,0.12,0.15,0.23,43.22,13.82,18.05,0.1,0,0.01,3.58,-0.46,-0.31,0,-0.16,0.26,0.97
1.6634,0,-0.052,-0.12,-0.03,-0.99,187.59,-13.1,3.81,0.07,0,0.01,3.84,0.31,0,0.46,0.16,0.06,1
1.6643,7,0.968,-0.01,-0,0.25,43.14,0.1,-1.16,0.08,0,-0.01,3.7,0,0,2.44,0.07,-0.06,0.99
1.729,2,0.645,0.11,0.05,-0.75,275.52,13.05,3.88,-0.01,-0,0,3.69,0.15,-0.31,0,-0.23,0.06,0.98
1.7302,1,-0.052,0.09,0.06,0.99,199.4,-10.82,6.82,-0.05,-0,0.02,3.77,0,0,0,0.24,0.11,0.99
1.7325,4,0.968,-0.1,0.12,-0.19,350,11.7,-13.81,-0.01,0,0.01,3.51,-0.46,-0.31,-0.15,-0.21,-0.24,0.96
1.7333,5,0.954,0.12,0.15,0.23,43.16,13.8,18.02,0.09,0,0.01,3.58,-0.15,0,0,-0.16,0.27,0.97
1.7691,3,0.675,-0.07,0.17,0.71,108.86,19.46,8.64,0.08,0,0.01,3.58,-0.31,0.46,-0.15,-0.34,0.06,0.95
1.7702,7,0.967,-0.01,-0,0.25,43.43,0.05,-1.21,0.08,-0.01,-0,3.7,0,0,0.92,0.07,-0.06,1
